frame_index,source,class_id,class_name,confidence,x1,y1,x2,y2
7,husky_025.jpg,0,husky,0.90380859375,564.0750732421875,92.00000762939453,736.0,560.050048828125
7,husky_025.jpg,0,husky,0.88134765625,266.51251220703125,239.34376525878906,452.237548828125,552.0000610351562
7,husky_025.jpg,0,husky,0.87353515625,396.1750183105469,59.943756103515625,630.7750244140625,560.050048828125
7,husky_025.jpg,0,husky,0.86669921875,107.88438415527344,171.3500213623047,322.28753662109375,531.300048828125
8,husky_027.jpg,0,husky,0.89794921875,740.0,263.75,1204.0,806.0
8,husky_027.jpg,0,husky,0.86181640625,321.0,260.75,612.0,765.0
8,husky_027.jpg,0,husky,0.85498046875,149.5,36.5,547.0,443.5
8,husky_027.jpg,0,husky,0.80322265625,675.0,172.5,845.0,511.0
9,husky_028.jpg,0,husky,0.85400390625,395.0,0.0,1280.0,720.0
9,husky_028.jpg,0,husky,0.77392578125,0.0,60.5,291.75,431.5
9,husky_028.jpg,0,husky,0.53125,182.0,51.5,718.5,582.5
10,husky_029.jpg,0,husky,0.8759765625,74.875,352.0,578.0,785.0
10,husky_029.jpg,0,husky,0.80859375,697.0,356.0,1162.0,757.0
10,husky_029.jpg,0,husky,0.5361328125,1176.0,261.5,1280.0,620.5
10,husky_029.jpg,0,husky,0.1795654296875,496.5,277.75,759.5,720.0
11,husky_031.jpg,0,husky,0.91357421875,13.049999237060547,30.149999618530273,266.3999938964844,384.0
11,husky_031.jpg,0,husky,0.87890625,264.1499938964844,60.52499771118164,491.8499755859375,384.0
12,husky_035.jpg,0,husky,0.92138671875,24.87568473815918,151.05235290527344,376.4320373535156,850.3687744140625
12,husky_035.jpg,0,husky,0.794921875,291.1154479980469,148.8544921875,652.1625366210938,882.3375244140625
13,husky_053.jpg,0,husky,0.73876953125,20.0,0.0,957.5,650.5
13,husky_053.jpg,0,husky,0.71484375,401.0,25.0,1223.0,793.0
13,husky_053.jpg,0,husky,0.21142578125,872.0,101.0,1280.0,800.0
13,husky_053.jpg,0,husky,0.1727294921875,1138.0,91.0,1280.0,800.0
14,husky_054.jpg,0,husky,0.9072265625,287.109375,65.0390625,419.140625,258.59375
14,husky_054.jpg,0,husky,0.90185546875,214.453125,37.109375,325.78125,257.03125
14,husky_054.jpg,0,husky,0.8798828125,113.4765625,50.390625,245.5078125,262.109375
14,husky_054.jpg,0,husky,0.681640625,61.5234375,29.345703125,156.8359375,194.921875
15,husky_057.jpg,0,husky,0.923828125,293.5687255859375,117.37968444824219,408.3187255859375,286.63592529296875
15,husky_057.jpg,0,husky,0.9033203125,179.65545654296875,4.422656059265137,336.5999755859375,166.62655639648438
16,husky_064.jpg,0,husky,0.88330078125,503.75,76.0,1122.0,695.0
16,husky_064.jpg,0,husky,0.72021484375,159.0,292.0,866.0,717.0
16,husky_064.jpg,0,husky,0.5185546875,161.5,79.5,604.0,598.0
16,husky_064.jpg,0,husky,0.161376953125,160.25,382.5,471.25,711.5
17,husky_069.jpg,0,husky,0.82861328125,0.0,26.2470703125,104.689453125,220.734375
17,husky_069.jpg,0,husky,0.80078125,93.9814453125,25.69921875,197.0,219.140625
18,husky_071.jpg,0,husky,0.83837890625,18.93310546875,3.330078125,125.46875,181.97265625
18,husky_071.jpg,0,husky,0.67822265625,114.296875,9.990234375,210.546875,175.205078125
19,husky_075.jpg,0,husky,0.859375,126.865234375,17.83203125,190.888671875,150.390625
19,husky_075.jpg,0,husky,0.8427734375,169.296875,22.34375,256.5234375,165.4296875
19,husky_075.jpg,0,husky,0.82666015625,0.64453125,17.509765625,92.8125,174.345703125
19,husky_075.jpg,0,husky,0.751953125,95.1220703125,18.798828125,151.03515625,152.431640625
19,husky_075.jpg,0,husky,0.521484375,74.12109375,18.4765625,129.55078125,152.001953125
20,husky_077.jpg,0,husky,0.9462890625,159.5929718017578,82.24102020263672,321.9797058105469,337.869140625
20,husky_077.jpg,0,husky,0.927734375,1.5714844465255737,41.90625,181.59375,363.1875
20,husky_077.jpg,0,husky,0.927734375,296.13751220703125,77.1773452758789,444.2062683105469,346.77423095703125
21,husky_081.jpg,0,husky,0.91064453125,134.99998474121094,28.945310592651367,206.24998474121094,157.61717224121094
21,husky_081.jpg,0,husky,0.841796875,85.19530487060547,19.570310592651367,156.44529724121094,161.01560974121094
22,husky_084.jpg,0,husky,0.65380859375,0.0,0.0,187.59375,182.0
22,husky_084.jpg,0,husky,0.537109375,126.5718765258789,0.0,254.6531219482422,180.3703155517578
22,husky_084.jpg,0,husky,0.277099609375,0.32343751192092896,0.0,85.92656707763672,180.2624969482422
23,husky_086.jpg,0,husky,0.8974609375,0.0,3.115234375,147.060546875,183.0
23,husky_086.jpg,0,husky,0.63427734375,136.640625,32.333984375,259.53125,183.0
24,husky_088.jpg,0,husky,0.9072265625,66.02460479736328,98.66297912597656,204.27029418945312,312.3882751464844
24,husky_088.jpg,0,husky,0.89306640625,179.6980438232422,131.408203125,295.9355163574219,300.6363220214844
24,husky_088.jpg,0,husky,0.8525390625,263.67108154296875,112.39140319824219,385.8913879394531,299.7816162109375
24,husky_088.jpg,0,husky,0.8408203125,352.5585632324219,177.66815185546875,506.4023132324219,299.1405944824219
25,husky_089.jpg,0,husky,0.82666015625,152.2312469482422,8.840624809265137,275.13751220703125,183.0
25,husky_089.jpg,0,husky,0.5029296875,80.2125015258789,42.42422103881836,218.42813110351562,182.63438415527344
26,husky_093.jpg,0,husky,0.9228515625,325.5,93.0,485.5,387.0
26,husky_093.jpg,0,husky,0.90966796875,112.75,97.25,293.0,377.5
27,husky_094.jpg,0,husky,0.9287109375,533.59375,26.171875,859.375,590.625
27,husky_094.jpg,0,husky,0.82568359375,181.25,208.59375,603.90625,640.625
28,husky_095.jpg,0,husky,0.8505859375,192.75,134.0,883.0,1176.0
28,husky_095.jpg,0,husky,0.66015625,618.0,45.0,1098.0,1041.0
29,husky_097.jpg,0,husky,0.84130859375,277.0,26.0,922.0,960.0
29,husky_097.jpg,0,husky,0.50390625,590.0,6.0,953.0,875.0
